City,Company,State,Latitude,Longitude,Capacity (million standard cubic feet per day),Process,Reference
Corpus Christi,Valero Refining Co,TX,27.7315323889456,-97.4149148023289,160,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Corpus Christi,Air Products,TX,27.7315323889456,-97.4149148023289,30,,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Dallas,Air Liquide,TX,32.8041315275714,-96.798095132266,0.83,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Dallas,Air Liquide America Corp,TX,,,,,
Deer Park,Air Liquide America Corp,TX,,,,,
Deer Park,Deer Park Refining Limited Partnershi,TX,,,,,
Deer Park,Millennium Petrochemicals Inc,TX,,,,,
Deer Park,OxyVinyls LP,TX,,,,,
Deer Park,Rohm and Has Co,TX,,,,,
Fort Worth,Bunge Foods Group,TX,,,,,
Freeport,Air Liquide America Corp,TX,28.9491038293717,-95.3592017344561,115,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Freeport,BASF Corp,TX,,,,,
Freeport,Dow Chemicals USA,TX,,,,,
Freeport,Praxair,TX,28.9491038293717,-95.3592017344561,170,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Houston,Air Liquide,TX,,,,,
Houston,Air Products,TX,,,,,
Houston,Air Products and Chemicals; Inc.,TX,,,,,
Houston,Praxair,TX,29.75032996077,-95.3669678545137,100,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Ingleside,Air Liquide America Corp,TX,27.8668504302634,-97.206494755583,0.7,,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Kingsville,Air Liquide America Corp,TX,,,,,
La Porte,Air Products and Chemicals; Inc.,TX,,,,,
La Porte,Air Products and Chemicals; Inc.,TX,,,,,
La Porte,OxyVinyls LP,TX,,,,,
La Porte,Praxair; Inc.,TX,,,,,
La Porte,Praxair; Inc.,TX,29.6632107813913,-95.0186155728785,25,,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
La Porte,Air Liquide,TX,29.6632107813913,-95.0186155728785,131,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Mont Belvieu,Air Products and Chemicals; Inc.,TX,29.8443152338723,-94.8848939135242,69,Byproduct,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Mont Belvieu,Belvieu Environmental Fuels,TX,,,,,
Mont Belvieu,Praxair; Inc.,TX,29.8443152338723,-94.8848939135242,29,,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Odessa,Air Liquide America Corp,TX,,,,,
Odessa,Rexene Corp,TX,,,,,
Odessa,Sterling Pulp Chemical; Ltd,TX,,,,,
Orange,DuPont,TX,,,,,
Pasadena,Air Products and Chemicals; Inc.,TX,29.6566324220415,-95.1661195025585,80,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Pasadena,Air Liquide,TX,29.6566324220415,-95.1661195025585,100,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Point Comfort,Formosa Plastics Corp USA,TX,,,,,
Sherman,Ag Processing Inc,TX,,,,,
Silsbee,South Hampton Refining Co,TX,30.3468427053821,-94.173888367546,0,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Texas City,BP Amoco Corp,TX,,,,,
Texas City,Praxair; Inc.,TX,29.4070758043616,-94.9606713612538,100,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Texas City,Praxair; Inc.,TX,29.4070758043616,-94.9606713612538,165,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Texas City,Praxair; Inc.,TX,29.4070758043616,-94.9606713612538,69,Byproduct,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Texas City,Union Carbide Corp,TX,,,,,
Three Rivers,Ultramar Diamond Shamrock Corp,TX,,,,,
Victoria (Beaumont),DuPont,TX,28.8266409237337,-96.9778315167959,0,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Gallatin,Air Products and Chemicals; Inc.,TX,31.8926758284625,-95.1558520265054,0.75,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Baytown,Air Products and Chemicals; Inc.,TX,29.7534578114564,-94.9707943088898,12,,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Lake Charles,"Praxair, Inc.",LA,,,,,
Texas City,"Praxair, Inc.",TX,,,,,
Cotton Valley,Calumet Lubricants Co,LA,32.8123145566074,-93.4235724605922,2,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Mankato,Cenex Harvest States Cooperatives,MN,,,,,
Lake Charles,CONDEA Vista Co,LA,,,,,
Sweeny,Phillips Petroleum Co,TX,29.0448765209396,-95.6992961156684,0,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Mont Belvieu,Belvieu Environmental Fuels,TX,,,,,
Sacramento,Air Products ,CA,38.569411838503,-121.478873110508,2.3,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
New Orleans ,Air Products ,LA,30.0742685171316,-89.7661620361388,26.35,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
St. John,Air Liquide,Canada,45.2859896280028,-66.0796582977211,16.599,Byproduct,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Anacortes,Air Liquide,WA,48.4948651291252,-122.633085046516,7.5,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Pesqueria,Air Liquide,Mexico,25.7909081408759,-100.048230695769,0.246,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Edmonton,Air Products,Canada,53.5167279861449,-113.514700914202,176,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Fort Saskatchewan,Air Products,Canada,53.6983674868441,-113.227354509852,153,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Scotford,Air Products,Canada,53.7622545496559,-113.083772889669,150,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Catlettsburg,Air Products,KY,38.4173602554947,-82.601911446433,34,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Garyville,Air Products,LA,30.0721878716074,-90.6284842286572,120,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
St. Charles,Air Products,LA,29.8831654217691,-90.3780701066515,150,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Detroit,Air Products,MI,42.3678289543807,-83.0937137217966,60,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Midland,Air Products,MI,43.6265461306131,-84.2320486527899,0.75,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Palmyra,Air Products,MO,39.7990699058841,-91.5266694487438,0.96,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Gallatin,Air Products,TN,36.3785639710194,-86.4534991598547,0.75,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Port Arthur,Air Products,TX ,29.9211678432135,-93.9767879187933,450,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Saraland,Linde,AL,30.8311938776239,-88.0963468882344,10,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Romeoville,Linde,IL,41.6419056241563,-88.0928787960361,60,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Oregon,Linde,OH,41.6550295433434,-83.4358936416189,120,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Asbestos,Linde,Canada,45.7738447220532,-71.9540179232569,7.055,,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
River Rouge,Praxair,MI,42.2735325388136,-83.1247631357595,1.44,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Hemlock,Praxair,MI,43.4178629489044,-84.2303313153097,,,
Monterrey,Praxair,Mexico,25.6730523495046,-100.316968719654,0.72,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Commerce City,Suncor Energy,CO,39.8915018566951,-104.833067636138,22,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
McPherson,CHS McPherson Refinery,KS,38.3754804057908,-97.6599285900218,42,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Coffeyville,Coffeyville Resources,KS,37.0396241724015,-95.6292601176477,22,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Linden,Phillips Petroleum Co,NJ,40.626508011306,-74.2399927500989,22,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Artesia,Hollyfrontier Navajo Refining,NM,32.8413833027797,-104.420597828618,38,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Ponca City,Phillips Petroleum Co,OK,36.7275852216214,-97.0608036689408,35,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Wynnewood,Wynnewood Refining Co,OK,34.6445418917834,-97.1633325944419,10,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Warren,United Refining,PA,41.8458715502309,-79.146544968847,10,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Sinclair,Sinclair Wyoming Refining Co,WY,41.7769909269604,-107.119758374247,52,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
