State,Name,Types,Source
Kansas,Renewable Fuel Retailer Tax Incentive,"Biodiesel, Ethanol",https://afdc.energy.gov/laws/6201
Kansas,Biofuel Blending Equipment Tax Exemption,"Biodiesel, Ethanol",https://afdc.energy.gov/laws/8304
Kansas,Biodiesel Rebates - Kansas Soybean Commission,Biodiesel,https://afdc.energy.gov/laws/11755
Kentucky,Biodiesel Production and Blending Tax Credit,"Biodiesel, Renewable Diesel",https://afdc.energy.gov/laws/5831
Kentucky,Alternative Fuel Manufacturing Tax Incentives,"Biodiesel, Ethanol",https://afdc.energy.gov/laws/11974
Kentucky,Propane Excise Tax Exemption,Propane,https://afdc.energy.gov/laws/5413
Massachusetts,Electric Vehicle (EV) Charging Incentive - Braintree Electric Light Department (BELD),Electricity,https://afdc.energy.gov/laws/12047
Michigan,Commercial Electric Vehicle (EV) Time-Of-Use (TOU) Rate and Rebate – Indiana Michigan Power,Electricity,https://afdc.energy.gov/laws/13178
Minnesota,Electric Vehicle (EV) Charging Station Rebate and Time-Of-Use (TOU) Rate - LREC,Electricity,https://afdc.energy.gov/laws/12147
Minnesota,Commercial Off-Peak Electric Vehicle (EV) Charging Incentive – Xcel Energy,Electricity,https://afdc.energy.gov/laws/13197
Minnesota,Electric Vehicle (EV) Wind Energy Promotion - Great River Energy,Electricity,https://afdc.energy.gov/laws/11944
Minnesota,Commercial Electric Vehicle (EV) Demand Charge Rate – Minnesota Power,Electricity,https://afdc.energy.gov/laws/13194
Missouri,Biodiesel Retailer Tax Credit,Biodiesel,https://afdc.energy.gov/laws/13128
Montana,Biodiesel Tax Refund,Biodiesel,https://afdc.energy.gov/laws/6502
Montana,Biodiesel Tax Exemption,Biodiesel,https://afdc.energy.gov/laws/6555
Nevada,Electric Vehicle (EV) Time-Of-Use (TOU) - Nevada Energy (NV Energy),Electricity,https://afdc.energy.gov/laws/9412
New Jersey,Reduced Propane Fuel Tax,Propane,https://afdc.energy.gov/laws/5494
New Jersey,Commercial Electric Vehicle (EV) Charging Station Installation Rebates - PSE&G,Electricity,https://afdc.energy.gov/laws/12753
New Mexico,Biodiesel Blending Facility Loading Fee Deduction,Biodiesel,https://afdc.energy.gov/laws/11300
New Mexico,Biodiesel Tax Deduction,Biodiesel,https://afdc.energy.gov/laws/10652
New Mexico,Idle Reduction and Natural Gas Vehicle (NGV) Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/6415
New Mexico,Biomass Tax Credit,"Biodiesel, Ethanol, Natural Gas",https://afdc.energy.gov/laws/12549
New Mexico,Electric Vehicle (EV) Time-Of-Use (TOU) Rates – El Paso Electric (EPE),Electricity,https://afdc.energy.gov/laws/12871
New York,Electric Vehicle (EV) Charging Rate Incentive for Businesses - Con Edison,Electricity,https://afdc.energy.gov/laws/12022
North Carolina,Alternative Fuel Tax Exemption,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/5664
North Carolina,Biodiesel Tax Exemption,Biodiesel,https://afdc.energy.gov/laws/6286
North Carolina,Alternative Fuel and Alternative Fuel Vehicle (AFV) Fund,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/5986
North Carolina,Natural Gas Vehicle (NGV) Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/11920
North Dakota,Biodiesel and Renewable Diesel Blender Tax Credit,"Biodiesel, Renewable Diesel",https://afdc.energy.gov/laws/5865
North Dakota,Biodiesel and Renewable Production and Blending Equipment Tax Credit,"Biodiesel, Renewable Diesel",https://afdc.energy.gov/laws/6170
Oklahoma,Ethanol Fuel Retailer Tax Credit,Ethanol,https://afdc.energy.gov/laws/6092
Oklahoma,Ethanol Sales Tax Exemption,Ethanol,https://afdc.energy.gov/laws/11044
Oklahoma,Biofuels Tax Exemption,"Biodiesel, Ethanol",https://afdc.energy.gov/laws/6242
Oklahoma,Electric Vehicle (EV) Rebate – Oklahoma Electric Cooperative (OEC),Electricity,https://afdc.energy.gov/laws/12492
Oregon,Electric Vehicle (EV) Time-Of-Use (TOU) Rate - Portland General Electric (PGE),Electricity,https://afdc.energy.gov/laws/12395
Pennsylvania,Hydrogen and Natural Gas Tax Credit,"Hydrogen, Natural Gas",https://afdc.energy.gov/laws/13138
Pennsylvania,Direct Current Fast Charging (DCFC) Station Incentive – PECO,Electricity,https://afdc.energy.gov/laws/13199
Pennsylvania,Renewable Fuels Mandate,"Biodiesel, Ethanol",https://afdc.energy.gov/laws/6486
Rhode Island,Biodiesel Tax Exemption,Biodiesel,https://afdc.energy.gov/laws/5764
South Carolina,Biofuel Blending Capability Requirements and Liability,"Biodiesel, Ethanol",https://afdc.energy.gov/laws/8561
South Dakota,Biodiesel Blend Tax Credit,Biodiesel,https://afdc.energy.gov/laws/6520
South Dakota,Commercial Electric Vehicle (EV) Charging Rebate - Black Hills Energy,Electricity,https://afdc.energy.gov/laws/13163
Tennessee,Methanol Tax Exemption,Methanol,https://afdc.energy.gov/laws/11969
Tennessee,Commercial Time-of-Use Rate (TOU) – Tennessee Valley Authority (TVA),Electricity,https://afdc.energy.gov/laws/12638
Texas,Biofuel Blend Tax Exemption,"Biodiesel, Ethanol, Renewable Diesel",https://afdc.energy.gov/laws/5641
Utah,Propane and Electricity Tax Exemptions,"Electricity, Propane",https://afdc.energy.gov/laws/9097
Washington,Natural Gas Tax Exemptions,Natural Gas,https://afdc.energy.gov/laws/11421
Washington,Electric Vehicle (EV) Time-Of-Use (TOU) Rate – Pacific Power,Electricity,https://afdc.energy.gov/laws/12861
West Virginia,Special Fuel Tax Exemption,Natural Gas,https://afdc.energy.gov/laws/12387
Wisconsin,Alternative Fuel Tax Exemption,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/5334
Wisconsin,Electric Vehicle (EV) Time-Of-Use (TOU) Rate – Madison Gas and Electric (MGE),Electricity,https://afdc.energy.gov/laws/12264
Wyoming,Commercial Electric Vehicle (EV) Charging Rebate - Black Hills Energy,Electricity,https://afdc.energy.gov/laws/13149
